institute,salary9,salaryAnnual,title,totalFaculty
Arizona State University,39109.0,52146.0,Instructor,158
Arizona State University,55807.0,74410.0,Lecturer,248
University of Arizona,120920.0,161227.0,Professor,752
University of Arizona,84338.0,112451.0,Associate Professor,482
University of Arizona,72434.0,96579.0,Assistant Professor,365
University of Arizona,37313.0,49751.0,Instructor,60
University of Arizona,56290.0,75053.0,Lecturer,125
The Art Center Design College-Tucson,28269.0,37693.0,Instructor,13
Brown Mackie College-Tucson,44336.0,59115.0,Instructor,5
DeVry University-Arizona,64723.0,86297.0,Professor,
American Indian College of the Assemblies of God Inc,,29450.0,Professor,
Apollo College-Phoenix Inc,32515.0,43354.0,Instructor,15
Carrington College-Mesa,37197.0,49597.0,Instructor,12
Carrington College-Tucson,27327.0,36437.0,Instructor,8
College America,37132.0,49510.0,Associate Professor,6
College America,,35183.0,Assistant Professor,
Brookline College-Phoenix,42813.0,57085.0,Instructor,8
Arizona State University,133468.0,177958.0,Professor,598
Arizona State University,90727.0,120970.0,Associate Professor,463
Arizona State University,81736.0,108982.0,Assistant Professor,319
Arizona State University,39109.0,52146.0,Instructor,158
Arizona State University,55807.0,74410.0,Lecturer,248
University of Arizona,120920.0,161227.0,Professor,752
University of Arizona,84338.0,112451.0,Associate Professor,482
University of Arizona,72434.0,96579.0,Assistant Professor,365
University of Arizona,37313.0,49751.0,Instructor,60
